0 ##VIDEO STARTED					Positive	Positive_Smooth	Negative	Negative_Smooth	Mixed	Mixed_Smooth
204.037061 Positive Off					0					
204.125942 ##DATA UPLOAD SUCCESS					0					
204.713767 Crying Off					0					
207.1188 ##DATA UPLOADING					0					
207.392507 ##DATA UPLOAD SUCCESS					0					
210.309917 ##DATA UPLOADING					0					
210.526912 ##DATA UPLOAD SUCCESS					0					
213.497466 ##DATA UPLOADING					0					
213.791043 ##DATA UPLOAD SUCCESS					0					
216.687361 ##DATA UPLOADING					0					
216.894902 ##DATA UPLOAD SUCCESS					0					
219.870141 ##DATA UPLOADING					0					
220.157873 ##DATA UPLOAD SUCCESS					0					
223.060031 ##DATA UPLOADING					0					
223.236225 ##DATA UPLOAD SUCCESS					0					
226.247931 ##DATA UPLOADING					0					
226.514883 ##DATA UPLOAD SUCCESS					0					
229.439391 ##DATA UPLOADING					0					
229.638822 ##DATA UPLOAD SUCCESS					0					
231.513687 Crying On					0					
232.621934 ##DATA UPLOADING					0					
232.921089 ##DATA UPLOAD SUCCESS					0					
235.810764 ##DATA UPLOADING					0					
236.011973 ##DATA UPLOAD SUCCESS					0					
238.999487 ##DATA UPLOADING					0					
239.273681 ##DATA UPLOAD SUCCESS					0					
242.189488 ##DATA UPLOADING					0					
242.390127 ##DATA UPLOAD SUCCESS					0					
245.371398 ##DATA UPLOADING					0					
245.672017 ##DATA UPLOAD SUCCESS					0					
248.562059 ##DATA UPLOADING					0					
248.7617 ##DATA UPLOAD SUCCESS					0					
251.752709 ##DATA UPLOADING					0					
252.047784 ##DATA UPLOAD SUCCESS					0					
254.646109 Crying Off					0					
254.931917 ##DATA UPLOADING					0					
255.30874 ##DATA UPLOAD SUCCESS					0					
258.125926 ##DATA UPLOADING					0					
258.319117 ##DATA UPLOAD SUCCESS					0					
261.314687 ##DATA UPLOADING					0					
261.602234 ##DATA UPLOAD SUCCESS					0					
264.503109 ##DATA UPLOADING					0					
264.681753 ##DATA UPLOAD SUCCESS					0					
267.682898 ##DATA UPLOADING					0					
267.933575 ##DATA UPLOAD SUCCESS					0					
270.874205 ##DATA UPLOADING					0					
271.194729 ##DATA UPLOAD SUCCESS					0					
274.066191 ##DATA UPLOADING					0					
274.273053 ##DATA UPLOAD SUCCESS					0					
277.243351 ##DATA UPLOADING					0					
277.514233 ##DATA UPLOAD SUCCESS					0					
280.431986 ##DATA UPLOADING					0					
280.646521 ##DATA UPLOAD SUCCESS					0					
281.071826 Crying On					0					
283.626512 ##DATA UPLOADING					0					
283.920922 ##DATA UPLOAD SUCCESS					0					
286.815015 ##DATA UPLOADING					0					
287.016281 ##DATA UPLOAD SUCCESS					0					
289.994535 ##DATA UPLOADING					0					
290.303169 ##DATA UPLOAD SUCCESS					0					
293.187552 ##DATA UPLOADING					0					
293.410788 ##DATA UPLOAD SUCCESS					0					
296.378344 ##DATA UPLOADING					0					
296.671757 ##DATA UPLOAD SUCCESS					0					
299.556361 ##DATA UPLOADING					0					
299.752626 ##DATA UPLOAD SUCCESS					0					
302.745246 ##DATA UPLOADING					0					
302.769329 Positive On					1					
303.019549 ##DATA UPLOAD SUCCESS					1					
305.939262 ##DATA UPLOADING					1					
306.134328 ##DATA UPLOAD SUCCESS					1					
309.130131 ##DATA UPLOADING					1					
