VR1,VR2,VR3,VR4,VR5,VR7,VR8,VR9,VR10,VR11,VR12,VR13,VR14,VR16,P1,P2,P3,N1,N2,N3
M,M,M,M,M,M,P,M,P,M,M,M,P,M,M,X,M,M,M,M
M,M,M,M,M,M,P,M,P,M,M,M,P,M,M,X,M,M,M,M
M,M,M,M,M,M,P,M,P,M,M,M,P,M,M,X,M,M,M,M
M,M,M,M,M,M,P,M,P,M,M,M,P,M,M,X,M,M,M,M
M,M,M,M,M,M,P,M,P,M,M,M,P,M,M,X,M,M,M,M
M,M,M,M,M,M,P,M,P,M,M,M,P,M,M,X,P,M,M,M
M,M,M,M,M,P,P,M,P,M,P,X,P,M,M,X,P,M,M,M
P,M,M,M,M,P,P,M,P,M,P,X,P,M,M,X,P,M,M,M
P,M,M,M,M,P,P,M,P,M,P,X,P,M,M,X,P,M,M,P
P,M,M,M,M,P,P,M,P,M,P,X,P,M,M,X,P,M,M,P
P,P,M,M,M,P,P,M,P,M,P,X,P,M,M,X,P,M,M,P
P,P,P,M,M,P,P,P,P,M,P,X,P,M,M,X,P,M,M,P
P,P,P,M,M,P,P,P,P,M,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,P
P,M,P,X,M,P,P,P,P,P,P,X,P,M,M,X,P,M,M,M
P,M,P,X,M,P,P,P,P,P,P,X,P,M,M,X,M,M,M,M
P,M,P,X,M,P,P,P,P,P,P,X,P,M,M,X,M,M,M,M
P,M,P,X,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,M
P,M,P,X,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,M
P,M,P,X,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,M
P,M,P,X,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,M
P,M,P,X,M,P,P,P,P,P,X,X,P,M,X,X,X,M,M,M
P,M,P,X,M,P,P,P,P,P,X,X,P,M,X,X,X,M,M,M
P,M,P,X,M,P,P,P,P,P,X,X,P,M,X,X,X,M,M,M
P,M,P,X,M,P,P,P,P,P,X,X,P,M,X,X,X,M,M,M
P,M,P,X,M,P,P,P,P,M,X,X,P,M,X,X,X,M,M,M
P,M,P,X,M,P,P,P,P,M,X,X,P,M,X,X,X,M,M,M
P,M,P,X,M,P,P,P,P,M,X,X,P,M,X,X,M,M,M,M
P,M,P,X,M,P,X,P,P,M,X,X,P,M,X,X,M,M,M,M
P,M,P,X,X,P,X,P,P,M,X,X,P,M,X,X,M,M,M,M
P,M,P,X,X,P,X,P,P,M,X,X,P,M,X,X,M,M,M,M
P,M,P,X,X,P,X,P,P,M,X,X,P,M,X,X,M,M,M,M
P,M,P,X,X,P,X,P,P,M,X,X,P,M,X,X,M,M,M,M
P,M,P,X,M,P,X,P,P,M,X,X,P,M,X,X,M,M,M,M
P,M,P,X,M,P,P,P,P,M,X,X,P,M,X,X,M,M,M,M
P,M,P,X,M,P,P,P,P,M,X,X,P,M,X,X,M,M,M,M
P,P,P,X,M,P,P,P,P,M,X,X,P,M,X,X,M,M,M,M
P,P,P,X,M,P,P,P,P,M,X,X,P,M,X,X,M,M,M,M
P,P,P,X,M,P,P,P,P,M,P,X,P,M,X,X,M,M,M,M
P,P,P,X,M,P,P,P,P,M,P,X,P,M,X,X,M,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,X,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,P,P,P,P,M,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,P,P,P,P,M,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,P,P,P,P,M,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,P,P,P,P,M,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,P,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,M,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,M,P,P,P,X,P,M,X,X,M,M,M,P
P,P,P,M,M,P,P,M,P,P,P,X,P,M,X,X,X,M,M,P
P,P,P,M,M,P,P,M,P,P,P,M,P,M,X,X,X,M,M,P
P,P,P,M,M,P,P,M,P,P,P,M,P,M,X,X,X,M,M,P
P,P,P,M,M,P,P,M,P,P,P,M,P,M,X,X,X,M,M,P
P,P,P,M,M,P,P,M,P,P,P,M,P,M,X,X,X,M,M,P
P,P,P,M,M,P,P,M,P,P,P,M,P,M,X,X,X,M,M,P
P,P,P,M,M,P,P,M,P,P,P,X,P,M,M,X,M,M,M,P
P,P,P,M,M,P,P,M,P,P,M,X,P,M,M,X,M,M,M,P
P,P,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,
M,P,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,
M,P,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
M,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
M,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
M,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
M,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
M,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
M,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
M,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
M,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
M,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
P,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
P,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
P,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
P,M,P,M,M,P,P,M,P,P,M,X,P,M,M,M,M,M,M,M
P,M,P,M,M,P,P,M,P,P,M,M,P,M,M,M,M,M,M,M
P,M,P,M,M,P,P,M,P,P,M,M,P,M,M,X,M,M,M,M
P,M,P,M,M,P,P,M,P,P,M,M,P,M,M,X,M,M,M,M
P,M,P,X,M,P,P,M,P,P,M,M,P,M,M,X,M,M,M,M
P,M,P,X,M,P,P,M,P,P,M,M,P,M,M,X,P,M,M,M
X,M,P,X,M,P,P,M,P,P,M,M,P,M,M,X,P,M,M,M
X,M,P,X,M,P,P,M,P,P,M,X,P,M,M,X,P,M,M,M
X,M,P,X,M,P,P,M,P,P,X,X,P,M,M,X,P,M,M,M
X,M,P,X,M,P,P,M,P,P,X,X,P,M,M,X,X,M,M,M
X,X,P,X,M,P,P,M,P,P,X,X,P,M,M,X,X,M,M,M
X,X,P,X,M,P,P,M,P,P,X,X,P,X,M,X,X,M,M,M
X,X,P,X,M,P,P,M,P,P,X,X,P,X,X,X,X,M,M,M
X,X,P,X,M,P,P,M,P,P,X,X,P,X,X,X,X,M,M,M
X,X,P,X,M,P,P,M,P,P,X,X,P,X,X,X,X,M,M,M
X,X,X,X,M,P,P,M,P,P,X,X,P,X,X,X,X,M,M,M
X,X,X,X,M,P,P,M,P,P,X,X,P,X,X,X,X,M,M,M
X,X,X,X,M,P,X,M,P,X,X,X,P,X,X,X,X,M,M,M
X,X,X,X,M,P,X,M,P,X,X,X,P,X,X,X,X,M,M,X
X,X,X,X,M,P,X,M,P,X,X,X,P,X,X,X,X,M,M,X
X,X,X,X,M,P,X,M,P,X,X,X,P,X,X,X,X,M,M,X
X,X,X,X,M,P,X,M,P,X,X,X,P,X,X,X,X,M,M,X
X,X,X,X,M,P,X,M,P,X,X,X,P,X,X,X,X,M,M,X
X,X,M,X,M,P,X,M,P,X,X,X,P,X,X,X,X,M,M,X
X,X,M,X,M,P,X,M,P,X,P,X,P,X,X,X,X,M,M,X
X,X,M,X,M,P,X,M,P,X,P,X,P,X,X,X,X,M,M,X
X,X,M,X,M,P,X,M,P,X,P,X,P,X,X,X,X,M,M,X
X,X,M,X,M,P,X,M,P,X,P,X,P,X,X,X,X,M,M,X
