0 ##VIDEO STARTED				Positive	Positive_Smooth	Negative	Negative_Smooth	Mixed	Mixed_Smooth
156.416918 ##DATA UPLOAD SUCCESS				1	0.666666667	0	0	0	0
157.666487 Positive Off				0	0.5	0	0	0	0
159.29648 ##DATA UPLOADING				0	0.333333333	0	0	0	0
159.488318 ##DATA UPLOAD SUCCESS				0	0.166666667	0	0	0	0
162.487855 ##DATA UPLOADING				0	0	0	0	0	0
162.767954 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
165.666717 ##DATA UPLOADING				0	0	0	0	0	0
165.870958 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
168.860858 ##DATA UPLOADING				0	0	0	0	0	0
169.122276 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
172.04842 ##DATA UPLOADING				0	0	0	0	0	0
172.524778 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
175.228223 ##DATA UPLOADING				0	0	0	0	0	0
175.437496 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
178.417162 ##DATA UPLOADING				0	0	0	0	0	0
178.70325 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
181.612084 ##DATA UPLOADING				0	0	0	0	0	0
181.813796 ##DATA UPLOAD SUCCESS				0	0	0	0.166666667	0	0
184.801527 ##DATA UPLOADING				0	0	0	0.333333333	0	0
185.079092 Negative On				0	0	1	0.5	0	0
185.080507 ##DATA UPLOAD SUCCESS				0	0	1	0.666666667	0	0
187.978721 ##DATA UPLOADING				0	0	1	0.833333333	0	0
188.181986 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
191.172018 ##DATA UPLOADING				0	0	1	0.833333333	0	0
191.442928 ##DATA UPLOAD SUCCESS				0	0	1	0.666666667	0	0
192.854047 Negative Off				0	0	0	0.5	0	0
194.363783 ##DATA UPLOADING				0	0	0	0.333333333	0	0
194.574995 ##DATA UPLOAD SUCCESS				0	0	0	0.166666667	0	0
197.539318 ##DATA UPLOADING				0	0	0	0	0	0
197.829376 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
200.730423 ##DATA UPLOADING				0	0	0	0	0	0
200.941494 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
203.921658 ##DATA UPLOADING				0	0	0	0	0	0
204.228067 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
207.113896 ##DATA UPLOADING				0	0	0	0	0	0
207.322729 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
210.292681 ##DATA UPLOADING				0	0	0	0	0	0
210.58773 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
213.481273 ##DATA UPLOADING				0	0	0	0	0	0
213.685669 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
216.676745 ##DATA UPLOADING				0	0	0	0	0	0
217.045488 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
219.85413 ##DATA UPLOADING				0	0	0	0	0	0
220.100935 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0
223.041748 ##DATA UPLOADING				0	0	0	0	0	0.166666667
223.355339 ##DATA UPLOAD SUCCESS				0	0	0	0	0	0.333333333
223.971117 Mixed On				0	0	0	0	1	0.5
226.232307 ##DATA UPLOADING				0	0	0	0	1	0.666666667
226.433317 ##DATA UPLOAD SUCCESS				0	0	0	0	1	0.833333333
229.42585 ##DATA UPLOADING				0	0	0	0	1	1
229.713904 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
232.606487 ##DATA UPLOADING				0	0	0	0	1	1
232.817026 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
235.793499 ##DATA UPLOADING				0	0	0	0	1	1
236.113033 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
238.984286 ##DATA UPLOADING				0	0	0	0	1	1
239.200313 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
242.177604 ##DATA UPLOADING				0	0	0	0	1	1
242.487409 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
245.356004 ##DATA UPLOADING				0	0	0	0	1	1
245.601948 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
248.545472 ##DATA UPLOADING				0	0	0	0	1	1
248.852759 ##DATA UPLOAD SUCCESS				0	0	0	0	1	1
251.736285 ##DATA UPLOADING				0	0	0	0	1	0.833333333
251.945101 ##DATA UPLOAD SUCCESS				0	0	0	0	1	0.666666667
254.679023 Mixed Off				0	0	0	0.166666667	0	0.5
254.914482 ##DATA UPLOADING				0	0	0	0.333333333	0	0.333333333
254.953029 Negative On				0	0	1	0.5	0	0.166666667
255.209783 ##DATA UPLOAD SUCCESS				0	0	1	0.666666667	0	0
258.107792 ##DATA UPLOADING				0	0	1	0.833333333	0	0
258.327633 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
261.298715 ##DATA UPLOADING				0	0	1	1	0	0
261.600733 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
264.488027 ##DATA UPLOADING				0	0	1	1	0	0
264.697044 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
267.667951 ##DATA UPLOADING				0	0	1	1	0	0
267.982154 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
270.859722 ##DATA UPLOADING				0	0	1	1	0	0
271.062504 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
274.050578 ##DATA UPLOADING				0	0	1	1	0	0
274.343179 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
277.238618 ##DATA UPLOADING				0	0	1	1	0	0
277.457312 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
280.419647 ##DATA UPLOADING				0	0	1	1	0	0
280.724102 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
283.609651 ##DATA UPLOADING				0	0	1	1	0	0
283.79363 ##DATA UPLOAD SUCCESS				0	0	1	1	0	0
